"OBJECTID" "x" "y" "coarse" "clay" "silt" "sand" "pH" "OC" "N" "P" "K" "CEC" "pH_class"
224 615031.9989 5358160.763 6 30 52 17 6.22 21.6 2.4000001 39.4 121.1 17.8 "acidic"
225 615134.7247 5350158.049 9 19 33 47 6.94 11.8 1.4 54 170.5 15.4 "neutral"
226 615265.5722 5340156.792 4 16 33 51 5.65 24.2 2.7 12.6 73.3 8.6 "acidic"
227 613651.5585 5310125.158 26 20 46 34 7.2 35.2 3.2 41 211.5 20.9 "neutral"
228 610771.0088 5378107.392 14 26 46 29 7.67 61.1 5.4000001 46.4 126.6 54.6 "alkaline"
229 611781.1589 5300098.909 29 19 54 27 7.28 59.4 5.0999999 35.9 194.7 34 "neutral"
230 609423.9922 5328078.278 12 39 42 19 6.5 122.1 9.1000004 15.9 94.5 62.5 "acidic"
231 609887.2317 5292069.967 10 17 51 32 7.16 55 5.3000002 45.6 239.2 28.9 "neutral"
232 607372.72 5332054.307 13 0 0 0 5.14 251.3 16.7999992 0 78.6 61.9 "acidic"
233 607786.2246 5300047.507 6 25 46 29 5.85 37.8 4 24.3 93.6 15 "acidic"
234 606146.4969 5272012.353 3 27 50 23 6.32 42.4 4.4000001 10.3 85.2 26.9 "acidic"
235 603582.8539 5315999.031 10 30 34 36 6.3 35.7 3.5 18.7 178.1 22.6 "acidic"
236 603816.018 5297997.043 8 26 46 28 5.39 28.6 3 21.2 94.1 13.8 "acidic"
237 600973.9203 5366005.367 9 22 55 23 7.1 18.2 1.9 61.8 495.1 17.3 "neutral"
238 601767.3399 5301970.694 19 31 38 30 7.36 29.1 3 18.1 115.1 34 "neutral"
239 601997.0105 5283965.823 26 30 43 27 6.45 90.7 8.1000004 44.5 134.5 47.8 "acidic"
240 599354.7236 5333950.747 5 14 39 47 6.49 14.8 1.7 47.4 137.4 12.4 "acidic"
241 596628.2534 5389927.826 4 18 28 54 7.95 14.7 1.5 30.7 275.8 15 "alkaline"
242 597381.951 5331925.627 8 23 50 28 6.46 26.1 2.7 33.6 387.6 15.2 "acidic"
243 597563.9979 5317923.85 3 27 37 36 6.05 32.3 3.4000001 14 84.9 17.4 "acidic"
244 595668.8429 5309896.426 4 35 33 32 5.95 38.8 3.9000001 37.3 231 23.6 "acidic"
245 596131.2252 5273888.586 6 19 47 34 6.07 35.2 3.8 10.6 74.6 22.2 "acidic"
246 594082.4708 5277862.665 21 20 46 34 7.38 37.8 3.2 0 71.4 25.9 "neutral"
247 591192.2966 5345847.299 18 20 45 35 6.32 6.1 0.8 10.7 145.1 7.3 "acidic"
